,reviews
198,"Airports, boring, tiring and a place to get out of! No so at Changi. The display of attractions such as the magnificent waterfall, the moving globes and other sights is a combination of art, sculpture and engineering genius, congratulations to all those involved in making this happen. Highly recommend travellers take time to stand in awe of these amazing  spectacles."
199,"My Singaporean in-law insist we go inside the waterfall part of Jewel, the new over priced over crowded mall of  chaos with extra luggage next to the Airport.
You need a $50 spend in the over priced shops to enter the Jewel waterfall. We spent this and more on four burgers ($80) and  had the ticket given to us by my Brother in law with QR code.
Get to the entrance and line up literally everyone in line gets to the ""gate-keepers"" is queried for ages , then walks away without getting in . 
Literally 10 or so people.
Weird...
When we get there the ""gate-keeper"" says we have to show receipts from meal , not the QR thingy (or maybe both she doesnt say)
Leave like the others, maybe they could organise / signage  this better or train staff or both.
View the fake waterfall  from outside and leave.
Just go to airport , it's better."
200,"Now I know why Changi airport has this title : it is incredibly clean, a beautiful garden and waterfall inside the airport, a shopping center... when you are inside the Jewel, you would even forget that you are inside an airport !"
201,"I’ve always loved Singapore airport and just when you think it can’t be more beautiful, they built the jewel . We stayed two nights at crown plaza ( the airport hotel ) just to visit the jewel. All the trees and noise of the waterfall , it’s just wonderful . A perfect example that anywhere where trees and water are added are just a people magnet ! I’m glad Singapore Airport authorities understand that !"
202,Booked with Viator. When we went to scan the passes emailed by Viator they were not valid. The staff at the Concierge were absolutely useless and unhelpful we were not able to go and enjoy the activity we had booked. Take the hit & pay on arrival. It was only when we were at the gate for the departure that we found the actual tickets in our email in a SPAM folder. Viator refused refund. We will NEVER use Viator again.
203,"The one and only main attraction is that insane water feature right at the centre of the jewel. You need to make the trip just to see it with your own eyes. It is worth the trip trust me. 

It looks so amazing in person how the water falls from the roof. You will be mesmerised by it. Around this water features there are lots of green plants and trees which is really nice. I love the whole feel and environment. 

At the TOP of the mall there are some activities that you can do like the slides, mazes, walking on the nets but all these extra activities you need to pay separately. 

This place is at Changi Airport itself so when you are arriving just walk over to check out the water feature. The mall itself apart from the water feature is just a regular shopping mall with the usual shops and restaurants etc. Nothing to shout about. The main attraction toon is the jewel or the water feature itself. 

I highly recommend this place if you are at Changi or if you are coming from anywhere in Singapore. Go see the place!"
204,This is an amazing addition to Changi airport. The waterfall is incredible plus there are lots of other attractions for families to enjoy plus some wonderful restaurants and shops too. Leave plenty of time for your visit!
205,"Managed to pay a visit to Jewel following an inbound flight arrival at Terminal 1.  A new, nice and big shopping mall! Just not my thing so .....  Visited and tried their food hall (food court) in Basement 2 called Five Spices.  There is a good variety of stalls and we tried 3 of them.  They are Saravanaa Bhavan ($7.50), Nasi Ayam Taman Serasi ($5.50) and Guan's Mee Pok ($6.50).  Of course prices are dependent on what you order.  You can refer to my photos.  All served decent quality food but as expected, it is rather pricey and not a lot of food  ..... understandably so given the venue location.  It is not a very large food hall so the number of tables are somewhat limited.  I would recommend that you transit over to the food hall in the Basement of Terminal 3.  Much better if you are looking for a more ""local"" feel and larger variety and more places to sit.  But if you are looking to kill time and to window shop or shop then this is it at the airport."
206,"The jewel lounge  facilities are quite nice and efficient. However one of its staff members looking after the catering and shower facilities Fhazli had a lot of attitude and put off many a passenger. I feel he needs to be retrained big time and needs to change his mindset on servicing passengers rather than show a total lack efficiency and disinterest. 
We used the lounge between 11 am and 2 pm OM 13th of December 2019"
207,"Did a transit at Changi Airport on our way to Christchurch last month and the information counter staff gave us wrong information regarding Jewel. She told us that there is a Entrance Fee of S$50 to Jewel due to many visitors. We out off the idea visiting Jewel 
On my business trip to Singapore on 11/12, we ask the cleaner and he told us just walk till the end of the Terminal 3 Check-In Lobby(Right Hand side)! It took us the most 10 minutes walk and here we are! 
Very nice place. The ambiance is good. The man made colour waterfall is nicer than most waterfalls that I have seen. 
The waterfall is surrounded by a lot of restaurants. 
Good place to hang around if you arrive early at Changi
Disappointed on the wrong information provided by the Information Counter inside Changi Airport Terminal 2 & 3 or my family would have check out on this place during our transit to Christchurch recently"
208,"But do keep in mind that you can only access it prior to going through passport control

The center piece waterfall is beautiful but too too crowded.
I wish they would do as Dubai mall and restrict the immediate area to paying customers. This way everyone is happy.

There are a lot of restaurants, retail shops, souvenir shops and cafes

If you're flight is later in the afternoon and you have to check out, you can spend some time here

Plz give this review a thumbs up"
209,You have to see this place to believe it. Luxury shopping mall with waterfall in an airport. I found it relaxing always a quiet corner where you can just chill and watch the world go by.
210,"Have heard a lot about the World's tallest waterfall so we plan our time here to have and shop.It is a nice tourist attraction, we enjoyed shopping sport gears and even Tokyu Hand's stuff after enjoyed lunch with lot of choices. Spare your time at Jewel Changi airport for few hours before leaving Singapore is recommended ."
211,One of the best airports in the world need I say more? Where else can you find a 10 level storey high airport?
212,"I was doing a mileage run from Seattle and had 19 hours in Singapore before turning around and heading home.  A few hours in an airport lounge doing work, 6 hours sleeping at the transit hotel inside the airport and then what?  So I cleared customs/immigration and walked over to the Jewel mall which is connected to each terminal by a walkway.

After walking around each floor and having a couple of beers at the Tiger Street Lab I headed to the Changi Lounge which I was able to access since I was using my Priority Pass card and had arrived earlier in the day. Access was quick and I was able to get some more work done at one of the tables.  Wifi was good.

Then back to the airport for my flight back to Shanghai and then Seattle.

Jewel Changi is a terrific attraction geared towards your inner shopper.  Lots of choices and the grocery store in the basement had the largest blueberries I have ever seen.  Jewel is a great way to spend a few hours when you don't have something else to do in lovely Singapore and want to stay close to the airport."
213,"The airport mall has become a destination in its own right! 

Noticed on our second visit though most people browse lots but spend little in the retail stores. Most are going for eats and viewing the huge waterfall.  Good way to while away an hour or two."
214,Check out the base of the waterfall at basement 1 (or B2?). The paid sky net walk at level 5 is also cool. Also the cleaning bots remind me of R2D2!!
215,"Whether your in transit or not. The shops surrounding it incl eateries are first class. BUT inside the jewel gardens, it’s incredible. You need to pay a small cover charge but the light and water show is incredible.  The gardens with suspension bridges will keep you and the kids busy for hours....."
216,I had read a lot about the Jewel before our visit and it looked and sounded great but I was worried that it would just be some gardens in the middle of a huge shopping centre. Essentially that is what it is but nothing prepares you for the scale of the place and it far exceeded even my best expectations. We had a long layover at Changi so booked a room at Yotel (in the Jewel itself) and then had several hours to look around and enjoy this attraction. There is a left luggage facility here so you don’t have to lug your bags around all day and many airlines have an early check-in facility actually in the Jewel so you can get rid of your bags when you are ready without having to go in to the airport terminals. Even if you are not a huge fan of shopping (we aren’t) there is enough going on here to keep your interest. The Shiseido Forest Valley (and walking trails) and view of the Rain Vortex are beautiful and mesmerising and both are free but there are also some paid attractions (they are not overly expensive). There are also loads of really good places to eat and drink. So a long airport layover doesn’t have to be tedious or boring. Jewel is one reason that Singapore Changi is my airport of choice for connecting from UK/Europe to Asia and Australasia.
217,It is truly a picture perfect masterpiece. it is accessible in all terminals. nice dome with plants and malls inside. a must see when in Singapore.
218,"very nice to visit such a unique place, especially for an airport but Singapore Changi definitely does not disappoint. One of my favourite airport in the world. Can get very crowded so beware of the crowds. Restaurant selection is ok only and the popular ones usually have a very long queue. Go early or make reservation"
219,"Visited Jewel Changi when it was recently opened so it's still pretty crowded.

A good variety of restaurants, the famous water feature and the netting walk at the top level.

It felt a bit warm & humid during the afternoon when I was there, probably because of the water feature and the fact you can't air condition the place properly in such a big open space.

But it's still worth at least one visit."
220,We had been told about a waterfall at the Changi Airport so while we were waiting for our flight we went to see what all the fuss was about and we are so glad we did. WOW! Next to the Changi Airport is a shopping centre called Jewel and in the middle is a mind blowing waterfall!
221,"Consider this a PSA. I was excited to wander around the Jewel before my flight out of Singapore. However, following bad advice online, I went through immigration thinking that you could reach the Jewel from that side. Wrong! I only got to see it from taking the terminal train"
222,I loved the night light show from the top of the waterfall. Thoroughly enjoyed my visit. I did the rope climb which was fun and a little unnerving when you look down but great time overall. Mirror maze was ok but nothing to write home about.
223,Jewel is accessible from all terminals at the Airport.  Check in for your flight and then wander across.  If you like shopping there is everything you could think of here.  If (like me) you don't then just walk into the middle and be wowed by the ingenuity of the largest indoor
224,"When you enter into an airport, it’s difficult to find a place that does not remind you of baggage claims, security checks, check in counters, and other things you fail to call amenities, with good reason. You are supposed to be in an airport.   Enter The Jewel and The Vortex. "
225,"Indoor waterfall, magnificent plants, flowers, shopping and great food! What more can I say. You must visit Jewel if you are at Changi Airport. Singapore is amazing."
226,"Jewel & Rain Vortex. I went there only for Rain Vortex, to witness the latest attraction myself. I end up brought my kids at the top floor and spent time with Skynet Bouncing and Skynet Walking.
The experience was superb! We got the nicest family pictures overlooking Rain Vortex from the Skynet. Everywhere was instagrammable worthy. Skynet Walking really tested your acrophobia. You will be walking on a net and below you the escalators for Jewel. Never look down! And tips for Skynet bouncing, wear comfortable cloth as you will sweat like crazy and when they say time limit is an hour, thank them please. You will get tired just after half an hour jumping and bouncing. Canopy walk during festive season is a bonus. Just love everything about Jewel and don't make make write another review just for shopping."
227,"Excellent building with variety of outlets. Its a place for everyone from toddlers to senior citizens. It can be used as family outing, for couples and also for schoolgoers to spend some time and enjoy."
228,"Tourism in Singapore starts right from the airport, and you are on till you board a flight out of the airport!!!

Jewel is has its own designated place between Terminal 1 and Terminal 2.  If you are boarding a flight out of Singapore either from T1 or T2, one should keep additional 30 minutes to spend with this amazing waterfall.  If it is post 6pm, even better...  Follow the directions specifically marked for ones walk to this tallest man-made waterfall.  The other option is to take an inter-terminal train that passes next to the waterfall.

Whatever be the option, one should never miss this."
229,"Breathtaking. Visit this place for few hours on touchdown. Hotel check-in can wait.
This place is breathtaking, an inspiration to the new generation for architecture. The sense of a forest within an airport is just serene here. Coupled with a camera, leaving this place is difficult. Is this a man made 7 wonders of the world?
Customer service here is second to none as we shopped. 

Amazing Singapore!"
230,"When I landed in Singapore, I was in a hurry and saw a strange water flow. I took some extra time before leaving Singapore and visited this incredible airport part. You can have a look at the pictures I took."
231,"Don't miss this spot.  Huge artifical fall with great lightings.  Different feelings for day n night views.  The mall connects with changi airport terminals directly.  Shops include internaional brands, local names, many dining places.  Have fun in canopy park which locates at top floor. Can download ichangi app or buy particular amount to get discount for entrance fee.  Worth to go."
232,"But since it cost $1B+ that’s probably not going to happen. Beautiful building, spectacular waterfall, welcoming atmosphere - great restaurants and a good mix of high end and affordable shops."
233,"Who would have thought you would find such an amazing place in an airport but the Jewel is a must visit if you are visiting the airport, certainly if your'e on the way home from there, an amazing waterfall show at regular intervals, great places to eat the whole area great it looks like a tropical forest with extras I cannot recommend it enough."
234,"Simply breathtaking! Not only are you entertained with every step but you are also left awestruck with its fresh flowers, awesome waterfall and so much more."
235,"The waterfall and garden area is very nice, albeit very crowded.  But in the end, it’s yet another shopping mall.  Definitely whoa look."
236,Absolutely mind blowing. Looks like something out of a sci fi movie. Pictures don’t do it justice. Huge indoor waterfall & garden.
237,"This is truly so admirable sight! The engineering, the design, this is just unbelievable! What's more is that this is INSIDE an airport! This magnificent attraction is linked to three of Changi Airport's passenger terminals. This centrepiece is known to be the world's tallest indoor waterfall, named the Rain Vortex, which is surrounded by a terraced forest setting."
238,"We had planned on enjoying Jewel before our evening flight, and to us it was just another typical stopping makl, with a spectacular water feature.
We were able to find good dining, but once out of the dining places there was only a very small number of cushions on which  to sit. 
So basically nowhere to sit and rest.
We gave up and went to the departure lounge where we could sit.
The early check-in at SIA was excellent though. 
Wouldn't bother going to Jewel again."
239,"The Jewel is beautiful, it is my second time here and I am pleased with the cleanliness and the exhibits they have However, it is way to crowded. Almost everything has a qeue and there is a lack of seating area for tires shoppers."
240,"In our fictional depiction of utopia, we imagine being in a beautiful fresh aired nature but somehow clean enough not to bother ourselves with muds, dirt, and bugs. We fantasize  having dinner in a luxurious setting but surrounded by trees and waterfall. Only, this is not an imagination, Singapore did it, it's real. The best shopping mall in the world, the best waterfall/forest in the world. Putting modernization back to nature, and carrying nature to modern mode."
241,"The Jewel Changi Airport is the new attraction in Singapore. The place has a big shopping mall with many places for dine and shop. Its roof top has a garden, canopy bridge to walk through the air, sky net for visitors to experience both bouncing and walking at the top level. Some of this place has admission fee though, but if you have plenty of time before your boarding time, try them all!"
242,"Ambience: 5/5
Cleanliness: 5/5
Customer Service: 5/5
Physical Ease: 5/5
Value for Money: 5/5

Jewel. One might say this could be the Crown Jewel of Changi Airport, really takes your breathe away as one marvel at the beauty and excellence in the architecture. It’s worth making the extra trip here to just pause and marvel at the brilliance behind this building, this is possibly one of the hallmarks of Singapore Architecture!"
243,Absolutely incredible.  Be careful not to lose track of time as this place is so good.  Changi Airport deserves all the awards.  Plenty of good food options and things to do.
244,"Very convenient to come to this place by MRT. Specially if your flight is at midnight, it is good to come early and go around this place. They even have a movie house. Good for relaxing."
245,Go for a relaxing walk to Jewel Changi Airport after your arrival in Singapore. Here you will find the tallest indoor waterfall in the world as well as lots of shopping and dining options.
246,"This is quite spectacular, well worth a visit before you depart from Changi  Airport. Lots of shopping to be done too!"
247,Definitely not what I was expecting.  Absolutely loved the amazing indoor waterfall and vortex.  Whoever designed this is pure genius.  Also the gardens are beautiful and I love this area of the airport.  You have to see this to appreciate.
248,"We checked our bags etc in first & just crossed the road it was that simple 
we had a late flight the only problem we had that the  walk way closed earlier  we manage to get 2 light shows in so pleased we did has they was different 1 per hour"
249,"The light show is every hour starting at 730pm (830pm, 930pm) and lasts for 5 minutes. 

I thought the view on the second floor by the escalators was the best. You could see the waterfall and also the bowl.

Since the show only last for 5 minutes, it’s good to leave 1 minute before to avoid the jam by the escalators and get a table for dinner :)"
250,"Jewel is a really nice indoor place where you would like to take some time prior your flight. You will find plenty of nice restaurants Michelín awarded and others), stores and a cool indoor waterfall really nice and relax place. .. just be aware not to loose your flight as you will be so entertain there. Should dedicated at least 1-2 hrs."
251,"A must visit when in Singapore .so many shops, but go to see the waterfall and beautiful trees and flower exhibits . A place I will definitely go again as it is stunning"
252,Jaw drop amazing indoor waterfall and lots of shopping spots within the building. a must visit place in singapore which is easily accessible from Changi Airport
253,but beware that to get the closest and best views you'll need to buy a ticket.  Otherwise a beautiful and amazing waterfall in the middle of the mall next to the Changi Airport.
254,This is an easily accessible complex near the airport and you can also get there on the MRT Amazing number of shops and eateries and impossible to cover it all in one day. The central water feature is worth seeing at night although the show is very brief. a must visit when in Singapore if only to say you've been there
255,"The airport is well designed and although busy you do not feel crowded. The walking areas have plenty of space and well marked. The Jewel at the airport is a must do so arrive early for your flight and allow enough time to experience this unbeatable attraction with designer shops and restaurants surrounding a indoor rain forest, truly amazing."
256,"We had an early morning flight out of T4 so went to see Jewel a day early.  We took the MRT (so cheap!).  From the CG2 MRT station you can take the walkway to Jewel or do the short walk to T2 then take the train to T1 and walk into Jewel from there (all A/C and less walking).  We were able to take our time looking around and take the waterfall trails up for pix.  The best photo are taken up higher, not at the bottom.  Then walk back out into T1 and take the Skytrain to T3 - THEN you can take the Skytrain from T3 to T2 that goes THROUGH the Jewel for the closest view of the waterfall! (This Skytrain does not let off in Jewel, it only goes through it).  *Reference the Skytrain maps throughout the airport.  Also If you don’t want to climb up the stair trails inside the waterfall, go out into T1 and take elevators to each upper level."
257,"If you’re traveling to Singapore and landing at T1/T2/T3 make sure you have some time to visit the Jewel, it is absolutely beautiful! One of the airports where you walk around and you won’t get bored! If you’re traveling to T4 you can take a free bus to the Jewel."
258,"Ever been to a shopping centre with a rainforest and waterfall? I hadn’t until I went to Jewel, right across the road from Terminal 1 at Singapore airport.
Honestly the most beautiful shopping centre ever. There’s even walking trails around the rainforest.
And of course if you get bored there are lots of shops to pass the time in."
259,"We have been hearing about The Jewel at Changi Airport for ages now and one of our main reasons for visiting Singapore again was to see this beauty. 
We landed on Monday and took the MRT on Tuesday back to see this masterpiece. 
There is so much to see and do and eat and drink around the area. We discovered that we can book our luggage in early back for our flight as well. Today, Friday we leave and we are going to straight to the airport even though our flight is not for 9 hours just so we can explore and enjoy some more of this beautiful location."
260,The indoor waterfall is amazing and it's so beautiful! At night they do lights shows on the waterfall and it's such a nice thing to look at. Jewel is a massive shopping centre inside the airport. They have so many shops that you can spend 2-5hours shopping around. If you have a stop over and have a couple of hours to spare and enjoy shopping. This is the place for you.
261,"This has to be seen to be believed. Gardens, waterfalls, restaurants, shops, adventure park and monorail. Allow at least a few hours here and stay for light show. Light show not great but colored waterfall is impressive. A must see."
262,"During a recent holiday we flew through Singapore and knew that we had to take time out and see the new Jewel attractions at Changi Airport. It is yet again another piece of environmental amazement built in the garden city.

The water feature is like nothing I have ever seen before and the gardens within the airport are simply spectacular. You could spend several hours there so I would definitely recommend giving yourself plenty of time. 

‘Jewel’ also has kids attractions up the very top of the atrium which are a must to see before you leave this beautiful city. 

Definitely recommend this attraction."
263,Definitely one of the highlight of the country after Marina Bay Sands. Day or night the scenery is breathtaking and awesome.
264,Fun place to hang while waiting for your next flight!  The fountain is amazing. The flowers and foliage fantastic.  The bridge above was well not inviting to me. But others loved it.
265,This is an airport experience unlike any other; make sure you set aside time to see this when you are at the airport. Be sure to stay for the laser light show at the top and bottom of the hour!
266,"Jewel at changi located just beside the airport, the mall was huge, lots of shops and restos, the water fall was spectacular, was really worth it!"
267,"That's why Changi always being the best Airport in the world, they trying so hard to impress traveler / visitor to feel a difference experience on top other International Airport.. 

Keep up the good work.."
268,"We went to the airport early so we could spend some time at the Jewel.  Amazing indoor design for the waterfall, viewable on several different levels. Really enjoyed this visit and a great way to spend a few hours before your flight
On the top level there are several paid for areas.  We did Canopy Park which was reasonable at 5SD.
There is also a light show in the evening."
269,"Very interesting opening to an amazing SG vacation❤
The Jewel indoor waterfall is even more beautiful at night. There are a lot of activities for kids and very good food selection as well!"
270,"Even it’s within airport complexes, the whole designs and experiences did not feel like it’s in the airport. Can’t describe each and every attractions, but the iconic water fall is the must-insta-photo!"
271,"After a night in Changi's Crowne Plaza, we went to explore The Jewel. What a great place to sit, relax, walk around, enjoy excellent food and do some shopping.  If you only have a day, skip the city tour and take The Jewel instead."
272,"Just by terminal 1 and you can reach with easy 15 minute walk from terminal 3 singapour airport. The center piece is the waterfall which is very impressive and has light show and gives fog, good view from bottom to walk around and see it and the park around, on the different"
273,Very interesting that this is at the airport. Simply amazing when you enter and see the indoor waterfall. The top floor feels like a relaxing escape in a lush garden. Totally transports you out of Singapore and the stress of an airport.
274,"This is a large, upscale mall located at the airport but the waterfall is what really makes it special and it is best seen at night, when the colored light show plays off the cascading water. The water pours from the center of the roof into a multilevel amphitheater where every"
275,"On top of stupidity! Can’t go there when you are in transit, without going through immigration. But you are so welcome to buy anything Else. 👎🏻"
276,"Just opposite the terminals - plan your visits on beforehand so you can still check it in, after tax refund. Huge choice of top brands. Just amazing central waterfall with vertex, reminding of the movie ""Avatar""."
277,"This newly open mall, just open in Apr 2019, is a large convenient mall opposite to Changi airport Terminal 3. It has many interesting shops and restaurants but the most impressive thing here is the big waterfall with changing lights and the water flow down from the roof in such a magical way.  Recommend"
278,"When we landed at Changi we were very impressed by the Airport, so big and airy and easy to navigate.  But we did not have time to visit Jewel.

We checked in for our departing flight as early as possible and spent an hour in the spectacular Jewel.  Boy are we glad that we did. We also took a train through it - just great.

Do the same, you will not be dissapointed!"
279,"I’ve always wanted to explore Jewel Changi ever since it opened but never took the opportunity. This time, my family and I were to board a flight at night and we decided to have our lunch at Jewel which means we will be in the airport 7 hours earlier. There were lots of restaurants down there and we chose to dine in at ‘Sankranti’, a south indian restaurant. The restaurant was a good pick which I will review it on a separate post...hehe...So after lunch we chose to walk around and yes we only did window shopping as we weren’t carrying any luggage with us. Hence, we didn’t wanna do any purchasing this time around. Time flew as how it would in a usual shopping mall.Not to forget the main attraction, the indoor waterfall, it was an absolute delight to our eyes. Absolute stunning architecture I would say. The chillness and the positive mood was filled around. Not missing on the mandatory insta photo and wefies we took. Surely a memory to be viewed down the years. A little rest and we were ready to head for our flight. Missed on trying out the cinema there which I will surely wanna try on in future. On whole, this terminal is a good hangout place while waiting to catch your flight. Never regret if you’re too early in airport because you’re in the right place to hangout. Just be careful that you do not miss your flight as you explore this terminal hahaaa :D"
280,"You can walk from Terminal 1 to the Jewell. The waterfall is huge and the surrounding gardens and smaller waterfalls are awesome. Lifts take you to the 5th level quickly. Hundreds of shopping stores, supermarket in basement. No cost, but $5 if you want to walk over the top floor bridge. You do not have to eat at restaurants, there are plenty of steps and stairs you can sit on while looking at the huge waterfall. Go a bit early to the airport and have a look."
281,"Singapore’s newest attraction.This venue is popular & very busy.open daily ,Aircon ,WiFi ,toilets available.There is the amazing waterfall.plus various other activities to do,some charge a fee.Also there is a many cafes,restaurants,hair salon,barber,plus a cinema here.lots to see & do for hours.There is also a Airline Early Check in are plus a ECI Lounge all on the lower level.There is also a bagged hold facility( for a fee).Great experience."
282,"I went to the airport and had some time to kill, so decided to drop by Jewel and witness this stunning water feature. It definitely is wonderful to get to see it. The water sounds and the smell of it are amazing. If you stand close enough to the water, you can even feel the mist from it which is cool!"
283,"Over the years, it's got to be some sort of record that Changi Airport's been the recipient of over six hundred awards, for everything from ecologically-conscious design features to being best aiport overall in the world.  With fierce competition from other regional and international airports around the world, Jewel was the symbol of Changi's attempts to stay ahead.  I've been to Jewel several times in the last few months, the first during its soft launch when special tickets were issued and the most recent several weeks ago prior to to work trip.  At its most basic, I found Jewel to be a gigantic mall, like so many already in existence on the island.  An there are other minor attractions at the top-most floor that come with an admission fee. But the shops and restaurants were mostly a sideshow to the centrepiece waterfall located in its centre.  And what a sight - water cascading down roughly eight floors from the dome's ceiling down into the basements.  And all this in a garden-like setting that just shouts out 'island oasis'.  I believe it's been scientifically proven that there's something about the negative ions around waterfalls that makes people feel calmer and happier - think Niagara Falls or Victoria Falls - and ewel's waterfall is no different.  Having seen it in both daytime and at night, there's no doubt that I prefer the latter.  And it's definitely worth checking out the hourly sound and light show that plays several times  in the evening."
284,"From the international airport, you can catch a train that takes you from one terminal to another with the track going above the Jewel canopy and passing the waterfall. And that's it...
To properly enjoy this attraction you need to clear immigration (which is possible when in transit if you have long enough) first.  The large shopping centre surrounding the Jewel is quite quiet - it hasn't really taken off yet. It was nice to wander around looking at the waterfall - make sure you go to the base - one or two levels down. The shopping centre surrounds the Jewel in a circle so you need to go up levels in the shopping centre to see it all form different angles.  I didn't find it clearly signposted where to find each entry on the different levels so spent more time than I had available walking in circles trying to find the entrances.  Lots of places to sit and enjoy the calm"
285,The lights and sound show not to be miss. The show is just a couple of minutes but it is just amazing. Huge mall with restaurants and cafes. Love it. Im proud to be a Singaporean.. 😊
286,Little prepares you for the overwhelming experience of the Jewel waterfall. The is only possible in Singapore.
287,"On the advice of our Travel Agent we visited the Jewel at Changi Airport before our late evening flight to Christchurch. We are so glad we did. 
The early check-in at the Jewel was so easy and stress free which left us bagless and able to enjoy the wonders of the Jewel. It’s a vibrant and busy place with great shops, the most beautiful gardens and a spectacular, high waterfall. 
Don’t miss the Jewel if you have time to fill while waiting for your flight. It feels like a theme park and getting to Terminal 3 for our flight home was easy. Changi is a beautiful airport."
288,"It's absolutely amazing the indoor waterfall in here. Mesmerising... never seen anything like it.
Several floors to view the direct back to airport. 
I could have spent all day in here!"
289,"Jewel is the centerpiece of Changi airport and certainly deserves the crowds flocking to it. Several levels of shops and restaurants can be found , but the main draw is the Rainfall Vortex, a 40 foot waterfall dominating the centre of the building.It’s a sight with a high wow factor. Viewing of the waterfall is better at the upper levels, but there is some view disruption by a rail line, and a high level foot bridge.The best time to see the waterfall is after dark when hourly light and sound shows bring out the best viewing ."
290,Extremely well built and beautiful. Is a must-visit but go on the weekdays. We went there on the weekends and the place was shoulder to shoulder with people. The shopping centre is no different from others in SG but does have a few international restaurants and we realised the menus are not well designed for single travellers.
291,"It's surely an impressive feat of engineering and design. If you like me are wondering about what Jewel is, well, it's a shopping centre attached to Changi airport. 

You need to clear custom so if you are transiting for 4 - 5 hours, it's worth clearing custom to have a wonder.

There is an indoor bridge from Terminal 2 and 3. I can't remember seeing a connecting bridge from T1 or T4 so check other's reviews. 

Like most big shopping centres, there are shops, tons of restaurants, a cinema and a food court. 

In the middle of it is this massive waterfall that turns all pretty at night with changing LED lights."
292,"If you’re on the transit, depending on the length of your duration, they offer a walking tour for free. I took a different route but it seemed like a great tour if anyone is interested. 

I did get a chance to stop by on my way back to the airport, the indoor waterfall is awesome. There’s a bridge overlooking the waterfall, but there is an entrance fee. Apparently it’s the highest indoor waterfall in the world.

Many shops and easily connected to T1 of Changi. I would definitely recommend for anyone. I’m not certain the tour with breakfast is a temporary offer so I would check with the website if you plan to join :)"
293,"Located in Terminal 3, the Jewel is best seen at night. The world’s largest waterfall cascades down 9 stories through a dramatic 40 m rain vortex. The choreographed light show is another spectacular not to be missed event. The 14,000 sq m Canopy Walk located at the topmost level of Jewel is a maze of beautiful, colourful gardens, giant slides and bouncing nets"
294,Jewel changi is one of the best place to visit in singapore. Specially those who early check-in or who have extra time while transits. Canopy park and restaurant food are also really good.
295,"Fantastic. We got back to the airport early so as we had time to visit Jewel.  Easy to either walk or take sky train between terminals. 

A definite when at Changi airport"
296,"Jewel, great place to roam around in between flights. A big shopping mall with an amazing water fountain.

Got there around 8am for a morning flight and the mall was still closed. Only a few food stalls were open. I think they follow the normal mall hours.

Suggest to allot min an hour to go around the place. There was even a grocery to buy last minute shopping before boarding."
297,"A lovely waterfall to see! If you are not in the right terminal, you can use the free terminal transport services to get you there. There is a lift to take you to different floors so you can see The Jewel at different perspectives."
298,"We found out first hand last Sunday night that virtually all restaurants closed by 10 and a couple took last orders at 10:30 then closed at 11. This is despite the website saying many would be open till midnight. So if your transiting the airport like we were then schedule your visit for early evening if dining is part of the plan.

As all the reviews say Jewel is a good mall made awesome by the indoor waterfall and garden."
299,"We reached change airport and I saw a board called jewel and some type of escalators that were leading in. it is funny that I thought it was some kind of jewellery shop but after checking in our luggages, we asked the airport staff about it and he said that it was  a place like a shopping mall. There were many shopping places and malls. Amazing place."
300,"The first time I saw Jewel from the outside in the day, I jaw dropped as it is huge. I can't believe that CAG could create such a huge mall and attraction just beside the airport. And of course, when I walked in to the centre of the mall to see the man-made waterfall, I was starstruck and fell in love with it. Super beautiful landscaping of flowers and greens, cooling and the waterfall just so stunning. The subtle music just made it so calming and the Jurassic Park  entrance. I went to level 2 and 3 to take more pictures and sadly the top level is not open to public (need to pay $5 entrance).
We went down to go and eat at the basement and to our surprise, the waterfall continues all the way to B3. Super beautiful, so many shops and food eateries, local and international. Some restaurants have an outdoor sitting facing the waterfall too."
301,Beauty of urban forest hidden as a treasure between the trees. Must visit if you come to Singapore. Can spend 3-4 hours enjoying the beauty. Suitable for all ages
302,One of the new shopping malls in singapore which is situated at terminal 1 at changi airport. Lots of boutique shops and places to eat there
303,"Wow is just the word to describe this.
A waterfall inside the airport! Is this one of the wonders of the world? Truly amazing!"
304,"The jewel is one of the best iconic place when you're visiting Singapore with family. We can see the water is falling down beautifully, plants are everywhere so we can enjoy the fresh air in that area. Very refreshing just only sit down and enjoy the view and environment of the Jewel. You have to visit this place, very nice! :)"
305,"Surely, the Jewel is an excellent idea. A convenient connection to many shops, restaurants, cafes...The waterfall is also nice. The early check-in is a bonus!"
306,"The Jewel is marketed  as an all in 1 experience - there is shopping, F&B, a magical waterfall, movie theatre and even accommodation. Although it can be experienced both pre or post flight, (not after you have passed through immigration), it is best experienced prior to one's"
307,"Very attracting, very nice view especially when skytrain passby. You can take free skytrain from T2 to T3 or the reverse way. You must experience the skytrain as you will passby and close view to waterfall fountain. It was a good combination of Marina Bay Sand fountain of wealth"
308,"if you were enchanted with the Gardens by the Bay,  Changi Jewel awes you with its breathtaking waterfall and the indoor nature trail.  A place worthy of its name and worth the time spent.  The provision to check in early for any of your flights is definitely helpful."
309,"The Jewel is worthy of a visit, if only to see 'the manmade waterfall' which is utterly SPECTACULAR!! If hanging around at Changi (for an hour or two), use your time wisely and visit 'The Jewel' which is within easy walking distance of the airport (Terminal 1). Eat/Drink and"
